"Title","Authors","PublicationName","AlternateName","Abstract","Url","AuthorAddress","Year","DOI","ReferenceType","Keywords","PdfRelativePath","CustomId"
"Quality properties of execution tracing, an empirical study","Galli, T. And Chiclana, F. And Siewe, F.","Applied System Innovation","","The quality of execution tracing impacts the time to a great extent to locate errors in software components;  moreover, execution tracing is the most suitable tool, in the majority of the cases, for doing postmortem analysis of failures in the field. Nevertheless, software product quality models do not adequately consider execution tracing quality at present neither do they define the quality properties of this important entity in an acceptable manner. Defining these quality properties would be the first step towards creating a quality model for execution tracing. The current research fills this gap by identifying and defining the variables, i.e., the quality properties, on the basis of which the quality of execution tracing can be judged. The present study analyses the experiences of software professionals in focus groups at multinational companies, and also scrutinises the literature to elicit the mentioned quality properties. Moreover, the present study also contributes to knowledge with the combination of methods while computing the saturation point for determining the number of the necessary focus groups. Furthermore, to pay special attention to validity, in addition to the the indicators of qualitative research: credibility, transferability, dependability, and confirmability, the authors also considered content, construct, internal and external validity. © 2021 by the authors. Licensee mdpi, basel, switzerland.","","","2021","10.3390/asi4010020","","","scopus-2-s2.0-85103533651.pdf","scopus-2-s2.0-85103533651"
"Exploring the extent and determinants of knowledge sharing in audit engagements","Chow, C.w. And Ho, J.l. And Vera-Munoz, S.c.","Asia-Pacific Journal Of Accounting And Economics","","Audit firms are faced with increasing demands for audit efficiency and effectiveness. Increasing knowledge sharing in audit engagements can help them respond to this challenge, and this study seeks to advance understanding of the extent and determinants of such sharing. Data collected from auditors of two big four audit firms suggest that both firms have high, but far from complete, levels of knowledge sharing. The factors identified as affecting such sharing range from characteristics of the client to attributes of the audit firm, audit team and individual auditors. A framework is proposed for organizing these factors and relationships. © 2008, copyright taylor & francis group, llc.","","","2008","10.1080/16081625.2008.9720815","","","scopus-2-s2.0-78649481690.pdf","scopus-2-s2.0-78649481690"
"An analysis of gene-finding programs for Neurospora crassa","Kraemer E., Wang J., Guo J., Hopkins S., Arnold J.","Bioinformatics","","MOTIVATION: Computational gene identification plays an important role in genome projects. The approaches used in gene identification programs are often tuned to one particular organism and accuracy for one organism or class of organism does not necessarily translate to accurate predictions for other organisms. In this paper we evaluate five computer programs on their ability to locate coding regions and to predict gene structure in Neurospora crassa. One of these programs (FFG) was designed specifically for gene-finding in N.crassa but the model parameters have not yet been fully 'tuned' and the program should thus be viewed as an initial prototype. The other four programs were neither designed nor tuned for N.crassa.\\\\\\\\rRESULTS: We describe the data sets on which the experiments were performed the approaches employed by the five algorithms: GenScan HMMGene GeneMark Pombe and FFG the methodology of our evaluation and the results of the experiments. Our results show that while none of the programs consistently performs well overall the GenScan program has the best performance on sensitivity and Missing Exons (ME) while the HMMGene and FFG programs have good performance in locating the exons roughly. Additional work motivated by this study includes the creation of a tool for the automated evaluation of gene-finding programs the collection of larger and more reliable data sets for N.crassa parameterization of the model used in FFG to produce a more accurate gene-finding program for this species and a more in-depth evaluation of the reasons that existing programs generally fail for N.crassa.\\\\\\\\rAVAILABILITY: Data sets the FFG program source code and links to the other programs analyzed are available at http://jerry.cs.uga.edu/~wang/genefind.html.\\\\\\\\rCONTACT: eileen@cs.uga.edu.","","","2001","","","","medline-11673234.pdf","medline-11673234"
"Interlaboratory study of the bioluminescence inhibition tests for rapid wastewater toxicity assessment","Farre M., Arranz F., Ribo J., Barcelo D.","Talanta","","Several toxicity procedures are currently being used for the wastewater toxicity assessment. We have undertaken an interlaboratory comparison of the use of different bioluminescence inhibition toxicity tests based on Vibrio fischeri in order to evaluate their reproducibility for the rapid wastewater toxicity assessment. Twenty-two laboratories took part in this study organized by the Institut Catala de Tecnologia (ICT) and the Consejo Superior de Investigaciones Cientificas (CSIC). During the exercise six series of six samples were analyzed along 5 months. Every batch of samples was composed by three real samples and three standard solutions. The real samples were: an untreated effluent of a paper industry a sample from a first settlement of a wastewater treatment plant (WWTP) and the final effluent of the WWTP. The goals of the interlaboratory study were to evaluate the repeatability (r) and reproducibility (R) when different laboratories conduct the test the influence of different matrix samples the variability between different tests based on the same principle: the bioluminescence inhibition of V. fischeri but involving different commercial devices and to determine the rate at which participating laboratories successfully completed tests initiated. The maximum number of outlier values was corresponding to a non-treated effluent from a paper industry. This also was the most complex and toxic sample analyzed. An increase on the non-convergent values obtained for the participants was observed at higher matrix complexity and at lower toxicity level. In comparison with other editions of this interlaboratory study the matrixes of real samples analyzed were more complex nevertheless the final variability coefficient for the exercise was nearby to the average value for the past editions. Due to the high complexity of some samples involved in this intercalibration the stability of real samples were also followed during the test. On the other hand no relation was found between final results and the different devices as show the cluster analysis.","","","2004","10.1016/j.talanta.2003.08.022","","","medline-18969330.pdf","medline-18969330"
"Demonstrating Broadcast Aggregate Keys for Data Sharing in Cloud","Rakshitha K., Rao A. S., Sagar Y., Ramasubbareddy S.","Lecture Notes in Networks and Systems","","In recent years the major issue in cloud computing is providing privacy for getting to re-appropriating information put away on cloud. To store also to share information safely cryptosystem is utilized. In cryptosystem the client needs to scramble the data before securing data on cloud and after that decode the data to get to it. This errand can need numerous keys for information encode just like information decoding. But the problem arises with data integrity where data can be modified or the files can be replaced without the knowledge of the data owner. So to ensure the trustworthiness of the record the information proprietor figures the hash-based message authentication code (HMAC) signature on each encoded document. © 2020 Springer Nature Singapore Pte Ltd.","","","2020","10.1007/978-981-15-2043-3_23","","","scopus-2-s2.0-85081566882.pdf","scopus-2-s2.0-85081566882"
"Trustful ad hoc cross-organizational data exchanges based on the hyperledger fabric framework","Van Hoye, L. And Wauters, T. And De Turck, F. And Volckaert, B.","International Journal Of Network Management","","Organizations share data in a cross-organizational context when they have the goal to derive additional knowledge by aggregating different data sources. The collaborations considered in this article are short-lived and ad hoc, that is, they should be set up in a few minutes at most (e.g., in emergency scenarios). The data sources are located in different domains and are not publicly accessible. When a collaboration is finished, it is however unclear which exchanges happened. This could lead to possible disputes when dishonest organizations are present. The receipt of requests/responses could be falsely denied or their content could be point of discussion. In order to prevent such disputes afterwards, a logging mechanism is needed which generates a replicated irrefutable proof of which exchanges have happened during a single collaboration. Distributed database solutions can be taken from third parties to store the generated logs, but it can be difficult to find a party which is trusted by all participating organizations. Permissioned blockchains provide a solution for this as each organization can act as a consensus participant. Although the consensus mechanism of the permissioned blockchain hyperledger fabric (versions 1.0–1.4) is not fully decentralized, which clashes with the fundamental principle of blockchain, the framework is used in this article as an enabler to set up a distributed database, and a proposal for a logging mechanism is presented which does not require the third party to be fully trusted. A proof of concept is implemented which can be used to experiment with different data exchange setups. It makes use of generic web apis and behaves according to a markov chain in order to create a fully automated data exchange scenario where the participants explore their apis dynamically. The resulting mechanism allows a data-delivering organization to detect missing logs and to take action, for example, (temporarily) suspend collaboration. Furthermore, each organization is incentivized to follow the steps of the logging mechanism as it may lose access to data of others, otherwise. The created proof of concept is scaled to 10 organizations, which autonomously exchange different data types for 10 min, and evaluation results are presented accordingly. © 2020 john wiley & sons, ltd.","","","2020","10.1002/nem.2131","","","scopus-2-s2.0-85089746079.pdf","scopus-2-s2.0-85089746079"
"Estimating sampling interval of terrestrial laser scanning point cloud with neighboring analysis of randomly selected points","Chen, M. And Zhang, X. And Liu, X. And Ji, C. And Zhao, L.","Yingyong Kexue Xuebao/Journal Of Applied Sciences","","This paper focuses on the estimation of sampling interval from terrestrial laser scanning data and presents an estimation method based on the neighboring analysis of randomly selected points. We select n central points from the randomly scanning data and search for k nearest points of each central point. The horizontal and vertical (with z axis) angles between the laser beam of each central point and corresponding neighboring points are calculated. Then histograms of horizontal and vertical angles are constructed respectively, with interval step ∆. The average angle of the interval with the second largest number of points is recognized as the corresponding horizontal or vertical sampling interval. Finally, the median value of the horizontal or vertical sampling values generated from a series of ∆ values is used as the final estimation result. Tests are carried on the data obtained from different scanners and test code is shared on the mathworks community. The test results show that the error of our method is smaller than 0.002◦ with good robustness with respect to different types of targets and parameter settings. © 2022 press of shanghai scientific and technical publishers. All rights reserved.","","","2022","10.3969/j.issn.0255-8297.2022.06.009","","","scopus-2-s2.0-85158149957.pdf","scopus-2-s2.0-85158149957"
"Predicting 30-day readmission risk for patients with chronic obstructive pulmonary disease through a federated machine learning architecture on findable, accessible, interoperable, and reusable (fair) data: development and validation study","Alvarez-Romero, C. And Martinez-Garcia, A. And Vega, J.t. And Díaz-Jimènez, P. And Jimènez-Juan, C. And Nieto-Martín, M.d. And Villarán, E.r. And Kovacevic, T. And Bokan, D. And Hromis, S. And Malbasa, J.d. And Beslać, S. And Zaric, B. And Gencturk, M. And Sinaci, A.a. And Baturone, M.o. And Parra Calderón, C.l.","Jmir Medical Informatics","","Background: owing to the nature of health data, their sharing and reuse for research are limited by legal, technical, and ethical implications. In this sense, to address that challenge and facilitate and promote the discovery of scientific knowledge, the findable, accessible, interoperable, and reusable (fair) principles help organizations to share research data in a secure, appropriate, and useful way for other researchers. Objective: the objective of this study was the fairification of existing health research data sets and applying a federated machine learning architecture on top of the fairified data sets of different health research performing organizations. The entire fair4health solution was validated through the assessment of a federated model for real-time prediction of 30-day readmission risk in patients with chronic obstructive pulmonary disease (copd). Methods: the application of the fair principles on health research data sets in 3 different health care settings enabled a retrospective multicenter study for the development of specific federated machine learning models for the early prediction of 30-day readmission risk in patients with copd. This predictive model was generated upon the fair4health platform. Finally, an observational prospective study with 30 days follow-up was conducted in 2 health care centers from different countries. The same inclusion and exclusion criteria were used in both retrospective and prospective studies. Results: clinical validation was demonstrated through the implementation of federated machine learning models on top of the fairified data sets from different health research performing organizations. The federated model for predicting the 30-day hospital readmission risk was trained using retrospective data from 4.944 patients with copd. The assessment of the predictive model was performed using the data of 100 recruited (22 from spain and 78 from serbia) out of 2070 observed (records viewed) patients during the observational prospective study, which was executed from april 2021 to september 2021. Significant accuracy (0.98) and precision (0.25) of the predictive model generated upon the fair4health platform were observed. Therefore, the generated prediction of 30-day readmission risk was confirmed in 87% (87/100) of cases. Conclusions: implementing a fair data policy in health research performing organizations to facilitate data sharing and reuse is relevant and needed, following the discovery, access, integration, and analysis of health research data. The fair4health project proposes a technological solution in the health domain to facilitate alignment with the fair principles. ©celia alvarez-romero, alicia martinez-garcia, jara ternero vega, pablo díaz-jimènez, carlos jimènez-juan, maría dolores nieto-martín, esther román villarán, tomi kovacevic, darijo bokan, sanja hromis, jelena djekic malbasa, suzana beslać, bojan zaric, mert gencturk, a anil sinaci, manuel ollero baturone, carlos luis parra calderón.","","","2022","10.2196/35307","","","scopus-2-s2.0-85133535592.pdf","scopus-2-s2.0-85133535592"
"Stimulus classification with electrical potential and impedance of living plants: comparing discriminant analysis and deep-learning methods","Buss E., Aust T., Wahby M., Rabbel T. L., Kernbach S., Hamann H.","Bioinspiration & Biomimetics","","The physiology of living organisms such as living plants is complex and particularly difficult to understand on a macroscopic organism-holistic level. Among the many options for studying plant physiology electrical potential and tissue impedance are arguably simple measurement techniques that can be used to gather plant-level information. Despite the many possible uses our research is exclusively driven by the idea of phytosensing that is interpreting living plants' signals to gather information about surrounding environmental conditions. As ready-to-use plant-level physiological models are not available we consider the plant as a blackbox and apply statistics and machine learning to automatically interpret measured signals. In simple plant experiments we exposeZamioculcas zamiifoliaandSolanum lycopersicum(tomato) to four different stimuli: wind heat red light and blue light. We measure electrical potential and tissue impedance signals. Given these signals we evaluate a large variety of methods from statistical discriminant analysis and from deep learning for the classification problem of determining the stimulus to which the plant was exposed. We identify a set of methods that successfully classify stimuli with good accuracy without a clear winner. The statistical approach is competitive partially depending on data availability for the machine learning approach. Our extensive results show the feasibility of the blackbox approach and can be used in future research to select appropriate classifier techniques for a given use case. In our own future research we will exploit these methods to derive a phytosensing approach to monitoring air pollution in urban areas. Copyright Creative Commons Attribution license.","","","2023","10.1088/1748-3190/acbad2","","","medline-36758242.pdf","medline-36758242"
"Improvement of reproducibility in quantitative susceptibility mapping (QSM) and transverse relaxation rates ( R<sub>2</sub><sup> </sup> ) after physiological noise correction","Choi J. Y., Lee J., Nam Y., Lee J., Oh S. H.","Journal of Magnetic Resonance Imaging","","BACKGROUND: Numerous studies have suggested that quantitative susceptibility mapping (QSM) and transverse relaxation rates ( R<sub>2</sub><sup>*</sup> ) are useful to monitor neurological diseases. For clinical use of QSM and R<sub>2</sub><sup>*</sup>  reproducibility is an important feature. However respiration-induced local magnetic field variation makes artifacts in gradient echo-based images and reduces the reproducibility of QSM and R<sub>2</sub><sup>*</sup> . PURPOSE: To investigate the improvement of reproducibility of QSM and R<sub>2</sub><sup>*</sup> after the correction of respiration-induced field variation and to assess the effect of varying types of the region of interest (ROI) analysis on reproducibility. STUDY TYPE: Reproducibility study. POPULATION: Ten controls. FIELD STRENGTH/SEQUENCE: 3T/multiecho gradient echo sequence. ASSESSMENT: Intrascan reproducibility of QSM and R<sub>2</sub><sup>*</sup> was investigated in ROIs before and after the respiration correction. STATISTICAL TESTS: Reproducibility was obtained by the square of voxel-wise correlation coefficients between scans. A paired t-test was performed for comparison between before and after the respiration correction and between QSM and R<sub>2</sub><sup>*</sup> . RESULTS: Based on the ROI analysis reproducibility increased after the respiration correction. Reproducibility in the white matter (11.89% increased in QSM and 23.38% in R<sub>2</sub><sup>*</sup>  P = 0.009 and 0.024 respectively) and deep gray matter (5.50% increased in QSM and 13.96% in R<sub>2</sub><sup>*</sup>  P = 0.024 and 0.019 respectively) increased significantly after the respiration correction. Reproducibility of R<sub>2</sub><sup>*</sup> was higher than that of QSM in the whole brain and cortical gray matter while QSM maps showed higher reproducibility than R<sub>2</sub><sup>*</sup> in the white matter and deep gray matter. DATA CONCLUSION: Respiration-induced error correction significantly improved reproducibility in QSM and R<sub>2</sub><sup>*</sup> mapping. QSM and R<sub>2</sub><sup>*</sup> mapping showed a different level of reproducibility depending on the types of ROI analysis. LEVEL OF EVIDENCE: 4 Technical Efficacy: Stage 1 J. Magn. Reson. Imaging 2018.","","","2019","10.1002/jmri.26522","","","medline-31062456.pdf","medline-31062456"
"Library of pyrolysis-gas chromatography data for synthetic polymers","Smith, C.g.","Journal Of Analytical And Applied Pyrolysis","","In an industrial environment, the analyst often encounters a wide variety of polymeric systems. A key to rapid turn-around-time for the characterization of composition of this assortment of samples involves the use of ""standardized"" analytical techniques which yield reproducible data. These data must be easily compared from one sample to another. A reliable system for identification of copolymer and blend compositions from pyrolysis-gas chromatography has been developed. Using reproducible pyrolysis and chromatographic parameters, ""characteristic"" peaks were identified for a number of industrially important polymers and copolymers. These data were used to develop a library which is readily used to identify the major components in subsequent unknown polymer blends or copolymers. Ingredients of the study included selection of a chromatographic system that gives the most data for a wide assortment of polymers, evaluation of the long-term stability and reproducibility of the chromatographic system, and identification of characteristic pyrolysis products. Examples are given to demonstrate the use of the library for qualitative and quantitative characterization of polymer blend composition. © 1989.","","","1989","10.1016/0165-2370(89)85034-x","","","scopus-2-s2.0-0024620957.pdf","scopus-2-s2.0-0024620957"
