"uid","Intervention","Intervention Provider","Target Population","Target Population Location","Discipline","Research Stage","Outcome Measures"
"scopus-2-s2.0-84971452303","Other peer review process","Researchers / Researcher Collaboration","Government","Canada","Social sciences","Assessment","Transparency of evaluation"
"scopus-2-s2.0-84972320449","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Effect size estimation"
"scopus-2-s2.0-84974662989","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Social sciences; Biomedical and health sciences","Conduct stage","Data availability and re-use; Computational reproducibility"
"scopus-2-s2.0-84976725048","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Effect size estimation"
"scopus-2-s2.0-84977144634","Registered reports","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Computational reproducibility"
"scopus-2-s2.0-84978909376","Financial incentive","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Data availability and re-use"
"scopus-2-s2.0-84981294623","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-84983002269","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-84983249688","Other quality checks / feedback","Institution","Students","United States","Social sciences","Conduct stage","Effect size estimation"
"scopus-2-s2.0-84984993974","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-84991363512","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-84991451163","Data access policies / agreements","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-84991497911","Computational reproducibility checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-84992152186","Data sharing policy/guideline","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Reporting stage","Data availability and re-use; Citation impact"
"scopus-2-s2.0-84992390333","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage; Reporting stage","Reporting quality; Type-I error reduction; Type-II error reduction"
"scopus-2-s2.0-84999084669","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85006172618","Training community","Institution","Researchers / Researcher Collaboration","India","Biomedical and health sciences","Conduct stage","Unspecified"
"scopus-2-s2.0-85007609361","Parenting and family support intervention","Unspecified","Unspecified","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85010686463","Data sharing policy/guideline","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Reporting stage","Data availability and re-use"
"scopus-2-s2.0-85010739530","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation; Computational reproducibility"
"scopus-2-s2.0-85010987086","Data quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Zimbabwe","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85011556944","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85013434295","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Planning and design stage; Conduct stage","Unspecified"
"scopus-2-s2.0-85014219254","Data quality checks / feedback","Government","Researchers / Researcher Collaboration","Malawi","Biomedical and health sciences","Assessment","Data quality checks"
"scopus-2-s2.0-85014826751","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Planning and design stage; Conduct stage","Standardization; Reproducibility"
"scopus-2-s2.0-85015632200","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Data quality checks / feedback"
"scopus-2-s2.0-85016784559","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology; Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85018193411","Data quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Australia","Natural sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85018203460","Data sharing policy/guideline","Researchers / Researcher Collaboration","Patients","United States","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85018719721","Other quality checks / feedback","Organisation","Researchers / Researcher Collaboration","Germany; Austria; Switzerland","Biomedical and health sciences","Conduct stage; Reporting stage","Reporting quality; Computational reproducibility"
"scopus-2-s2.0-85019059263","Computational reproducibility checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85020284959","Other reporting guidelines, checklists, or standards","Funder","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage","Reporting quality"
"scopus-2-s2.0-85020878126","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage","Effect size estimation; Reporting quality"
"scopus-2-s2.0-85021133254","Training community","Institution","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Conduct stage","Reporting quality; Data availability and re-use"
"scopus-2-s2.0-85021154600","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use; Data quality checks / feedback"
"scopus-2-s2.0-85025072674","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85026846033","Data access policies / agreements","Institution","Researchers / Researcher Collaboration","Norway","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85027894489","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85028301685","SPIRIT guidelines","Institution","Researchers / Researcher Collaboration","France","Biomedical and health sciences","Planning and design stage","Reporting quality"
"scopus-2-s2.0-85028352096","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Patients","Europe","Biomedical and health sciences","Assessment","Reporting quality"
"scopus-2-s2.0-85028530689","Research methods training","Institution","Students; Researchers / Researcher Collaboration","Ecuador","Social sciences","Planning and design stage; Conduct stage","Research productivity; Knowledge gain; Perceived competence"
"scopus-2-s2.0-85028767220","Other quality checks / feedback","Institution","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Assessment","Reporting quality"
"scopus-2-s2.0-85029586108","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85029683905","Online sharing platform","Institution","Researchers / Researcher Collaboration; Students","UK","Biomedical and health sciences","Conduct stage; Reporting stage","Reporting quality; Data availability and re-use"
"scopus-2-s2.0-85029755974","Other reporting guidelines, checklists, or standards","Organisation","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85030618986","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Type-I error reduction; Type-II error reduction"
"scopus-2-s2.0-85030709675","CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85030721039","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85031664902","Other","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85032481863","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85032731364","Other quality checks / feedback","Funder","Researchers / Researcher Collaboration","Paraguay","Natural sciences; Social sciences","Assessment","Effect size estimation; Reporting quality"
"scopus-2-s2.0-85032881625","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85034043739","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85034261793","Open-source software","Researchers / Researcher Collaboration","Forensic scientists","Unspecified","Natural sciences; Engineering and technology","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85034660845","Technology-aided instruction and intervention","Unspecified","Students","Unspecified","Social sciences","Assessment","Effect size estimation"
"scopus-2-s2.0-85036544667","Workflow standardisation","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85037327308","RIMES guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85038354234","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85040705842","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Europe","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85042159426","Data sharing policy/guideline","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Data availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85042236556","Training community","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Social sciences","Conduct stage","Transparency of contributions; Reporting quality"
"scopus-2-s2.0-85043246027","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use; Data quality checks / feedback"
"scopus-2-s2.0-85043363163","Other reporting guidelines, checklists, or standards","Government","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Planning and design stage; Conduct stage; Reporting stage","Reporting quality; Data availability and re-use"
"scopus-2-s2.0-85043703654","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85044572143","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Conduct stage; Reporting stage","Reporting quality"
"scopus-2-s2.0-85044577323","Data sharing policy/guideline","Institution","Researchers / Researcher Collaboration","Canada","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use"
"scopus-2-s2.0-85046864411","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85047000164","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85047066621","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage","Data availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85047758733","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Effect size estimation"
"scopus-2-s2.0-85048451745","Centralised sharing platform","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85049246313","Supported funding initiative","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Research output; Research capacity"
"scopus-2-s2.0-85050342972","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Assessment","Computational reproducibility"
"scopus-2-s2.0-85050454954","Open materials badges; Open data badges","Publisher / journal","Students","United States","Humanities and the arts","Conduct stage; Reporting stage","Data availability and re-use; Materials availability and re-use"
"scopus-2-s2.0-85050474069","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85050701405","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85050739815","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Effect size estimation"
"scopus-2-s2.0-85050762292","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Social sciences; Humanities and the arts","Reporting stage","Reporting quality"
"scopus-2-s2.0-85050919825","Code sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Code / analysis availability and re-use"
"scopus-2-s2.0-85052122207","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85052502664","Other peer review process","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","China; United States","Biomedical and health sciences","Conduct stage","Effect size estimation"
"scopus-2-s2.0-85052620169","Other peer review process","Institution","Students","China","Engineering and technology","Conduct stage","Effect size estimation"
"scopus-2-s2.0-85052913144","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Data availability and re-use"
"scopus-2-s2.0-85053111014","STRICTA guidelines; CONSORT guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85053246791","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","France","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85053361504","Replication study","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Publication bias; Reporting bias; Computational reproducibility"
"scopus-2-s2.0-85053375300","Unspecified","Unspecified","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Type-I error reduction; Type-II error reduction"
"scopus-2-s2.0-85054073845","Data access policies / agreements","Government","Researchers / Researcher Collaboration","United States","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85054395353","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Planning and design stage; Conduct stage; Reporting stage","Data availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85054530634","Other quality checks / feedback","Researchers / Researcher Collaboration","Organisation","Czech Republic","Social sciences","Assessment","Effect size estimation"
"scopus-2-s2.0-85054632930","Centralised sharing platform","Funder","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85055837956","Other reporting guidelines, checklists, or standards","Government","Government","Brazil","Natural sciences","Assessment","Effect size estimation"
"scopus-2-s2.0-85056240159","TIDieR guidelines; CERT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85056307234","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Conduct stage","Unspecified"
"scopus-2-s2.0-85057757437","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage; Reporting stage","Effect size estimation; Reporting quality"
"scopus-2-s2.0-85058150889","ARRIVE guidelines","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85058337738","Data management training","Institution","Researchers / Researcher Collaboration; Students","Egypt","Biomedical and health sciences","Conduct stage","Reporting quality"
"scopus-2-s2.0-85058995322","Open science infrastructure","Institution","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85059117063","Code sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85060531712","Training community","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85060914476","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85061259667","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Netherlands","Social sciences; Biomedical and health sciences","Conduct stage; Reporting stage","Publication bias; Reporting bias"
"scopus-2-s2.0-85061559667","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation"
"scopus-2-s2.0-85062350616","Open materials badges","Publisher / journal","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Materials availability and re-use"
"scopus-2-s2.0-85062620087","Other reporting guidelines, checklists, or standards","Government","Researchers / Researcher Collaboration","Japan","Biomedical and health sciences","Conduct stage","Reporting quality"
"scopus-2-s2.0-85063037381","Mindfulness-based intervention","Researchers / Researcher Collaboration","Patients","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation; Computational reproducibility"
"scopus-2-s2.0-85063150176","Centralised sharing platform","Institution","Researchers / Researcher Collaboration","Scotland","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use; Reporting quality"
"scopus-2-s2.0-85063527580","Data access policies / agreements","Researchers / Researcher Collaboration","Healthcare institutions","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85063653069","Other peer review process","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","England","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85063775729","Computational reproducibility checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85064069107","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use; Materials availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85064185929","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85064209308","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Type-I error reduction; Type-II error reduction"
"scopus-2-s2.0-85064507352","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","United States","Social sciences","Conduct stage; Reporting stage","Data availability and re-use"
"scopus-2-s2.0-85065255961","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Italy","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85067398688","Other quality checks / feedback","Researchers / Researcher Collaboration","Organisation","Unspecified","Natural sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85068796998","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","South Africa","Social sciences","Conduct stage","Materials availability and re-use"
"scopus-2-s2.0-85068852203","Data access policies / agreements","Institution","Researchers / Researcher Collaboration","China","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85070113987","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Conduct stage","Data availability and re-use; Reporting quality"
"scopus-2-s2.0-85070774843","Open science improvements; Modified funding lotteries","Funder","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences; Social sciences","Planning and design stage; Conduct stage; Reporting stage","Publication bias; Reporting bias; Type-I error reduction"
"scopus-2-s2.0-85070852759","Data access policies / agreements","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85070947597","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85071638126","Data sharing policy/guideline","Unspecified","Researchers / Researcher Collaboration","Unspecified","Natural sciences","Conduct stage","Data availability and re-use"
