"uid","Target Population","Intervention Provider","Discipline","Intervention","Outcome Measures","Research Stage","Target Population Location"
"embase-2007606950","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Experimental design","Computational reproducibility","Conduct stage","Unspecified"
"embase-2007977023","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","China"
"embase-2008347519","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Other quality checks / feedback","Reporting quality; Data availability and re-use","Conduct stage; Reporting stage","Unspecified"
"embase-2008387699","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"embase-2008419985","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data quality checks / feedback","Data availability and re-use","Conduct stage","Unspecified"
"embase-2010026395","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences; Social sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage","Canada; United States"
"embase-2010226262","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Statistical method","Type I/II error reduction; Reporting bias","Conduct stage","Unspecified"
"embase-2010257990","Students","Institution","Biomedical and health sciences","Reproducible code/analysis training","Computational reproducibility","Planning and design stage; Conduct stage; Reporting stage","Unspecified"
"embase-2010353563","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Other","Conduct stage","Unspecified"
"embase-2010392048","Researchers / Researcher Collaboration","Government","Biomedical and health sciences","Other","Type I/II error reduction","Conduct stage","United Kingdom; South Africa"
"embase-2010454467","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Canada"
"embase-2010455259","Other","Government","Biomedical and health sciences","Other","Type I/II error reduction","Conduct stage","United States"
"embase-2010516159","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Workflow standardisation","Computational reproducibility","Conduct stage","Unspecified"
"embase-2010581742","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Open code badges","Computational reproducibility; Code / analysis availability and re-use","Conduct stage; Reporting stage","Global"
"embase-2010731449","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Statistical method","Type I/II error reduction; Computational reproducibility","Conduct stage","Unspecified"
"embase-2010827155","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Other peer review process","Type I/II error reduction","Conduct stage","Unspecified"
"embase-2011046416","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Social sciences","Other reporting guidelines, checklists, or standards","Type I/II error reduction; Reporting quality","Conduct stage","United States"
"embase-2011823887","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Data availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"embase-2011903672","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Republic of Korea"
"embase-2011924356","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Unspecified"
"embase-2011964753","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-2012340044","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Experimental design","Type I/II error reduction; Computational reproducibility","Planning and design stage; Conduct stage","Unspecified"
"embase-2013002051","Researchers / Researcher Collaboration","Publisher / journal","Agricultural and veterinary sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-2013019442","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Agricultural and veterinary sciences","Other","Data availability and re-use","Conduct stage","Belgium"
"embase-2013156282","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Workflow standardisation","Computational reproducibility","Conduct stage","Unspecified"
"embase-2013484740","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Other","Conduct stage","Unspecified"
"embase-2013577765","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Open code badges; Open materials badges","Computational reproducibility; Code / analysis availability and re-use; Materials availability and re-use","Conduct stage","Global"
"embase-2013673884","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Other","Computational reproducibility","Planning and design stage; Conduct stage","UK"
"embase-2013684806","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Experimental design","Other","Conduct stage","Unspecified"
"embase-2013823166","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"embase-2013900095","Researchers / Researcher Collaboration; Other","Government; Funder; Organisation","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Reporting quality; Other","Reporting stage","United States"
"embase-2014004530","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Global"
"embase-2014038318","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data access policies / agreements","Data availability and re-use","Conduct stage","United States"
"embase-2014102194","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Statistical method","Type I/II error reduction","Conduct stage","Unspecified"
"embase-2014113061","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Computational reproducibility","Conduct stage","Unspecified"
"embase-2014530394","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Unspecified"
"embase-2014530490","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"embase-2014595457","Other","Organisation","Biomedical and health sciences","Other","Other; Other","Planning and design stage; Conduct stage","United States"
"embase-2014636072","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Computational reproducibility checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"embase-2014848149","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data quality checks / feedback","Other","Conduct stage","Unspecified"
"embase-2014905434","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Canada"
"embase-2014951114","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"embase-2014953534","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Centralised sharing platform; Other open science badges","Data availability and re-use","Conduct stage","Unspecified"
"embase-2015131519","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage","Unspecified"
"embase-2015134396","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Type I/II error reduction; Reporting quality","Planning and design stage; Conduct stage; Reporting stage","Canada"
"embase-2015161620","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other peer review process","Computational reproducibility","Conduct stage","Unspecified"
"embase-2015265513","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Conduct stage","Brazil"
"embase-2015306206","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage","Unspecified"
"embase-2015309614","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"embase-2015556534","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Other quality checks / feedback","Other","Conduct stage","Unspecified"
"embase-2015782595","Organisation","Researchers / Researcher Collaboration","Engineering and technology","Data sharing policy/guideline","Data availability and re-use","Conduct stage","Unspecified"
"embase-2015816762","Researchers / Researcher Collaboration","Other","Natural sciences; Engineering and technology; Biomedical and health sciences; Social sciences","Other","Other","Conduct stage; Reporting stage","United States"
"embase-2015838284","Researchers / Researcher Collaboration; Students","Researchers / Researcher Collaboration","Natural sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"embase-2015857312","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Computational reproducibility","Conduct stage; Reporting stage","Unspecified"
"embase-2015963186","Researchers / Researcher Collaboration; Other","Government","Biomedical and health sciences","Data access policies / agreements","Data availability and re-use","Conduct stage; Reporting stage","United States"
"embase-2016606149","Researchers / Researcher Collaboration","Government","Social sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage","Unspecified"
"embase-2016734720","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Statistical method","Type I/II error reduction","Conduct stage","Unspecified"
"embase-2016799306","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Data availability and re-use; Materials availability and re-use; Reporting quality","Conduct stage","Unspecified"
"embase-2017010857","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Data availability and re-use; Reporting quality","Conduct stage; Reporting stage","Spain"
"embase-2017324797","Researchers / Researcher Collaboration","Organisation","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"embase-2017525771","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Computational reproducibility","Conduct stage","Unspecified"
"embase-2017655905","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Computational reproducibility","Conduct stage","Unspecified"
"embase-2017674581","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","Other","Other","Conduct stage","Unspecified"
"embase-2017722338","Other","Other","Biomedical and health sciences","Other quality checks / feedback","Reporting quality","Reporting stage","Nigeria"
"embase-2017752188","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage","United States"
"embase-2018030168","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Pre-registration","Reporting quality; Type I/II error reduction","Planning and design stage","Unspecified"
"embase-2018226863","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Other","Data availability and re-use","Conduct stage","Unspecified"
"embase-2018623226","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Data availability and re-use","Conduct stage","Global"
"embase-2019648137","Other","Institution","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Other","Conduct stage","United Kingdom"
"embase-2019824303","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Open code badges","Computational reproducibility","Conduct stage","Unspecified"
"embase-2020841696","Other","Organisation","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Outreach","Unspecified"
"embase-2021315742","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality; Computational reproducibility","Conduct stage; Reporting stage","Unspecified"
"embase-2022435010","Researchers / Researcher Collaboration","Government","Biomedical and health sciences","Other","Data availability and re-use","Conduct stage","USA"
"embase-2022675817","Other","Other","Biomedical and health sciences","Other","Type I/II error reduction","Assessment","Unspecified"
"embase-2022683560","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Engineering and technology; Biomedical and health sciences","Other peer review process","Transparency of evaluation; Reporting quality","Planning and design stage; Conduct stage","Global"
"embase-2024284829","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Statistical method","Computational reproducibility","Conduct stage","Global"
"embase-2024566508","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Computational reproducibility","Conduct stage","Unspecified"
"embase-2024572348","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Workflow standardisation","Computational reproducibility","Conduct stage","Unspecified"
"embase-2024739588","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Computational reproducibility checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"embase-2024786211","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Workflow standardisation","Computational reproducibility","Conduct stage","Unspecified"
"embase-2024953935","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Open science infrastructure","Data availability and re-use","Conduct stage","Global"
"embase-2025131456","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Type I/II error reduction; Reporting quality","Conduct stage","Global"
"embase-2026107044","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Workflow standardisation","Computational reproducibility","Conduct stage","Unspecified"
"embase-2026109478","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Computational reproducibility; Data availability and re-use","Conduct stage; Reporting stage","United States"
"embase-2026459173","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality; Other","Reporting stage","Unspecified"
"embase-2026990147","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-2028042433","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage","United States"
"embase-29505078","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-32322244","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Global"
"embase-32988393","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Spain"
"embase-352063447","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Other; Other; Other","Assessment","Western countries"
"embase-352324329","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-352495024","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-354634870","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Unspecified"
"embase-355431768","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","China"
"embase-358316077","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-358887209","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","China"
"embase-359454075","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Statistical method","Type I/II error reduction","Conduct stage","Unspecified"
"embase-359931315","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-36032673","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Reporting quality checks / feedback","Reporting quality","Reporting stage","Unspecified"
"embase-361281686","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Reporting quality","Reporting stage","United States"
"embase-361607005","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-362699147","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Experimental design","Type I/II error reduction","Planning and design stage; Conduct stage","Unspecified"
"embase-362778085","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Other quality checks / feedback","Other","Conduct stage","Unspecified"
"embase-368649187","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","China"
"embase-370231695","Students","Institution","Biomedical and health sciences","Other","Data availability and re-use","Conduct stage","Saudi Arabia"
"embase-370312108","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Type I/II error reduction; Computational reproducibility","Conduct stage","Unspecified"
"embase-372403268","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-373008282","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Statistical method","Type I/II error reduction; Type I/II error reduction","Conduct stage","Unspecified"
"embase-373857000","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","CONSORT guidelines; Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Unspecified"
"embase-40932648","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Other quality checks / feedback","Other","Conduct stage","UK"
"embase-41574317","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences","Computational reproducibility checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"embase-43715823","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Reporting quality","Conduct stage","Unspecified"
"embase-46071269","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-50244960","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-50479844","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Reporting quality","Reporting stage","Unspecified"
"embase-50511500","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Agricultural and veterinary sciences","Workflow standardisation","Computational reproducibility","Conduct stage","Europe"
"embase-50693769","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-51214236","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-51706817","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-51806303","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Experimental design","Computational reproducibility","Conduct stage","Unspecified"
"embase-52501528","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Unspecified"
"embase-52621176","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-52873538","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Engineering and technology; Biomedical and health sciences","Other","Computational reproducibility","Conduct stage","Europe; USA"
"embase-53007662","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-53010173","Researchers / Researcher Collaboration","Government","Biomedical and health sciences; Social sciences","Data sharing policy/guideline","Data availability and re-use","Conduct stage; Reporting stage","Unspecified"
"embase-601957070","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","ASEAN Plus Six"
"embase-602614697","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Online sharing platform","Data availability and re-use; Computational reproducibility","Conduct stage; Reporting stage","Unspecified"
"embase-603513928","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"embase-604598867","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Registered reports","Computational reproducibility","Conduct stage","Unspecified"
"embase-604814554","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","China"
"embase-605184944","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-605222644","Researchers / Researcher Collaboration","Learned societies","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Unspecified"
"embase-605251542","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Reporting quality","Reporting stage","Unspecified"
"embase-606153869","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality; Computational reproducibility","Reporting stage","Unspecified"
